char_pos,word_pos,file_line,origin,word_after,word_before,line,mikta,halacha,chapter,masechet_he,amud,daf
179,39,5148,ליידן,בכל,ודאי,02,1,007,003,ערלה,ב,סג
1,1,5177,ליידן,"""יש",,01,1,001,001,בכורים,ג,סג
113,24,5181,ליידן,בכורי,"""ראשית",04,1,001,001,בכורים,ד,סג
1,1,5203,ליידן,הלכ'2,,01,1,004,001,בכורים,א,סד
85,19,5225,ליידן,ר',תנחומא,06,2,005,001,בכורים,ב,סד
1,1,5245,ליידן,"""התרומה",,01,1,001,002,בכורים,ג,סד
135,23,5251,ליידן,שנה,שמונים,07,1,001,002,בכורים,ד,סד
116,20,5274,ליידן,ואף,לזרים,01,5,002,002,בכורים,א,סה
90,17,5299,ליידן,מעוברת,שנה,04,1,006,002,בכורים,ב,סה
1,1,5311,ליידן,"""כיצד",,01,1,001,003,בכורים,ג,סה
65,14,5337,ליידן,והלא,שמה,16,6,003,003,בכורים,ד,סה
1,1,5365,ליידן,"""יציאות",,01,1,001,001,שבת,ב,ב
1,1,5379,ליידן,ר',,13,1,001,001,שבת,ג,ב
44,10,5400,ליידן,עשרה,גבוה,02,2,001,001,שבת,ד,ב
85,16,5426,ליידן,ארבעה,ורחבה,17,3,001,001,שבת,א,ג
18,5,5449,ליידן,כדעתיה,יוחי,05,6,002,001,שבת,ב,ג
177,37,5466,ליידן,שלא,לומ',01,5,003,001,שבת,ג,ג
13,3,5488,ליידן,ר',אמ',13,1,004,001,שבת,ד,ג
247,48,5508,ליידן,מתרפא,והיא,03,1,005,001,שבת,א,ד
203,39,5531,ליידן,"פעמים""",שבע,07,1,007,001,שבת,ב,ד
1,1,5548,ליידן,"""במה",,01,1,001,002,שבת,ג,ד
42,9,5566,ליידן,שלכהן,כליו,09.1,3,001,002,שבת,ד,ד
130,25,5588,ליידן,בשם,לעזר,08,1,003,002,שבת,א,ה
158,30,5607,ליידן,והרי,שחיטה,14,1,005,002,שבת,ב,ה
97,20,5630,ליידן,כליו,נפלו,01.1,3,007,002,שבת,ג,ה
178,36,5641,ליידן,כל,קטם,07,1,001,003,שבת,ד,ה
7,2,5661,ליידן,דר',אתייא,04,1,003,003,שבת,א,ו
1,1,5681,ליידן,מתני',,01,1,005,003,שבת,ב,ו
26,6,5704,ליידן,כל,דמר,06,2,006,003,שבת,ג,ו
1,1,5724,ליידן,"""במה",,01,1,001,004,שבת,ד,ו
16,4,5743,ליידן,נחיל,הושעיה,03,2,002,004,שבת,א,ז
1,1,5758,ליידן,"""במה",,01,1,001,005,שבת,ב,ז
24,5,5779,ליידן,לקישושות,סולם,02.1,1,004,005,שבת,ג,ז
1,1,5790,ליידן,"""במה",,01,1,001,006,שבת,ד,ז
119,25,5808,ליידן,לא,שאמרו,01,4,001,006,שבת,א,ח
135,27,5829,ליידן,פגומה,שלימין,02.1,3,002,006,שבת,ב,ח
26,6,5854,ליידן,דאודניה,עודדיה,03,1,005,006,שבת,ג,ח
181,39,5880,ליידן,ואמ',כלום,09,1,010,006,שבת,ד,ח
147,29,5890,ליידן,ומעשרות,בהמה,01.1,1,001,007,שבת,א,ט
13,4,5911,ליידן,בשם,זעירא,14,1,001,007,שבת,ב,ט
23,6,5931,ליידן,לקיש,בן,04,1,002,007,שבת,ג,ט
