char_pos,word_pos,file_line,origin,word_after,word_before,line,mikta,halacha,chapter,masechet_he,amud,daf,system_line
34,7,6422,ליידן,אין,אמ',03,1,001,016,שבת,ג,טו,01058
8,2,6449,ליידן,דר',מתנית',02,1,002,016,שבת,ד,טו,01085
1,1,6474,ליידן,"""כל",,01,1,001,017,שבת,א,טז,01110
66,14,6489,ליידן,נחמיה,דר',01,1,002,017,שבת,ב,טז,01125
1,1,6507,ליידן,"""מפנין",,01,1,001,018,שבת,ג,טז,01143
1,1,6530,ליידן,"""ר'",,01,1,001,019,שבת,ד,טז,01166
1,1,6543,ליידן,ר',,14,1,001,019,שבת,א,יז,01179
17,3,6570,ליידן,אין,ואנדרוגינס,01,2,003,019,שבת,ב,יז,01206
1,1,6590,ליידן,"""ר'",,01,1,001,020,שבת,ג,יז,01226
253,48,6609,ליידן,שפיה,בהמה,02,1,004,020,שבת,ד,יז,01245
1,1,6615,ליידן,"""מבוי",,01,1,001,001,עירובין,ב,יח,00001
51,13,6633,ליידן,פתח,על,03,2,001,001,עירובין,ג,יח,00019
46,10,6656,ליידן,ר',אמ',21,3,001,001,עירובין,ד,יח,00042
121,25,6679,ליידן,אמ',בלבד,02,1,002,001,עירובין,א,יט,00065
127,25,6701,ליידן,הארץ,מן,01,1,006,001,עירובין,ב,יט,00087
104,21,6725,ליידן,אם,מותר,05,1,008,001,עירובין,ג,יט,00111
107,22,6749,ליידן,יבישין,עצים,03,3,010,001,עירובין,ד,יט,00135
30,6,6759,ליידן,בגלגל,הגולה,05,1,001,002,עירובין,א,כ,00145
